ADDRESS,LOCALITY,STATE,ZIP CODE,COUNTY,STREET,TYPE,PRICE,BEDS,BATHS,BUILD DATE,LOT SIZE,SQFT,FEES,VIEW COUNT,DAYS POSTED,DESCRIPTION
        1765 Burgess      ,Barton City,MI, 48705 ,Alcona ,Burgess,Single-Family Home,$18000,3,2,1950,5998,1276,,167,441,Investors Wanted! This three bedroom two bath home has tons of potential. A short walk to Jewell Lake and a view of the Baseball diamond and park across the street.              
        4231 Huron Ct #133      ,Barton City,MI, 48705 ,Alcona ,Huron Ct,Mobile/Manufactured,$49900,3,1,1973,,1280,,85,81,This "Great Northern Getaway" will capture your hearts. Move in condition. 1973 updated mobile home with full back addition(14x40) which includes the utility room living room and master bedroom. Front the mobile includes 2 bedrooms full bath kitchen & dining room area. Owners pride shows through-out this home. Hunt fish swim boat or just relax and enjoy. Access to (2) inland lakes. You can also ride your quads snowmobiles bikes etc on the roads in here. Annual dues of $ 130.+- are for maintaining the roads and treating the lakes. You will enjoy sitting around the campfire with family and friends and just enjoying "Good ole mother nature". Some appliances are included but all + house furnishings and yard items are negotiable. By appt. only.              
        1330 Lakeside Ct      ,Barton City,MI, 48705 ,Alcona ,Lakeside Ct,Single-Family Home,$153000,4,2,1995,10.00,1430,,57,123,Secluded home on wooded acreage in Lakes in the Green. Open floor plan some knotty pine giving the up north feel wood buring fireplace kitchen with corian counter tops and hickory cabinetry master bedroom with 7x19.5 walk-in closet and own 3/4 bath utility has laundry tub extra deep crawl foundation. 12x29 front deck has 9x9 screened area that opens into the kitchen extending living space to the outdoors during warmer seasons. 30x40 pole barn garage with 3 overhead doors and service door. Ride ORV snowmobile horses on groomed roads. Enjoy the two private lakes in the association. For Lakes in the Green Association information go to litapoa.org. Assocaition annual fee of $130 goes to road and lake maintenance. Move in ready.              
        1120 N Montana Rd      ,Barton City,MI, 48705 ,Alcona ,N Montana Rd,Single-Family Home,$64000,4,2,1962,1.72,1480,,379,369,4 Bedroom 2 Bath Ranch on 3 lots in Barton City.              
        1131 N Montana Rd      ,Barton City,MI, 48705 ,Alcona ,N Montana Rd,Single-Family Home,$34900,2,1,1967,0.29,1000,,906,466,Very affordable older home/cabin in very sound condition. Near Jewel Lake snowmobile trails and 1000's of acres of public forest land for all kinds of Northern MI recreation. Needs a little tlc but very livable and priced right. This home really is one of the greatest values in Alcona County.              
        1141 N Montana Rd      ,Barton City,MI, 48705 ,Alcona ,N Montana Rd,Single-Family Home,$59900,3,1,1967,0.29,992,,124,217,Bright cozy 3 bedroom home located in Barton city. You'll love relaxing next to the stone fireplace in the beautiful tongue and groove living room. From the bedrooms to the bathrooms the rustic touches flow throughout this home; giving it the perfect woodsy feel.              
        1180 N Odonnell Rd      ,Barton City,MI, 48705 ,Alcona ,N Odonnell Rd,Lot/Land,$174900,,,,141.60,,,104,50,Owned since 1925 this desirable piece of heaven can finally be yours boasting 140+ acres w/60 acres of productive pastures & 80 acres of incredible mature timbers. This real estate heirloom incl mature apple black walnut & cherry trees hardwoods & cedar swamp garden area sand hills an old railroad grade a meandering creek for wildlife & end of the road location location location! Bordering 100s of acres of Federal Land this unique parcel incl mineral rights & hearty pasture lands that have always been grazed or planted until 2014. Well septic electric are on site. Outbuildings still serve their purpose adequately but home is in poor condition & would make great hunting camp. No matter because the property says it all & awaits the new enthusiastic owners              
        1157 N Richardson Rd      ,Barton City,MI, 48705 ,Alcona ,N Richardson Rd,Single-Family Home,$45000,2,2,1972,0.64,840,,110,167,LAND CONTRACT POSSIBLE: Move right in to this adorable 2 bedroom Chalet style home. Upstairs offer 2 bedrooms plus half bath. Main level features open concept living room and kitchen/dining combo. plus full bath and a utility room. Owner has gone thru and painted and decorated this home to a T. Large lot with deck fire pit and a room shed for all of your outdoor storage items. Walking distance to Jewell Lake.              
        1340 N Sanborn Rd      ,Barton City,MI, 48705 ,Alcona ,N Sanborn Rd,Single-Family Home,$449900,4,3,2006,238.00,2080,,195,161,This Single-Family Home is located at 1340 N Sanborn Rd Barton City MI is currently for sale and has been listed on Trulia for 195 days. This property is listed for $449900. 1340 N Sanborn Rd4 beds 3 baths and approximately 2080 square feet. The price per square foot is $216. The property has a lot size of 238.00 acres sqft and was built in 2006. 1340 N Sanborn Rd is in Barton City MI.              
        4100 Northwood Ct      ,Barton City,MI, 48705 ,Alcona ,Northwood Ct,Single-Family Home,$76900,3,1,1993,10.01,1000,,85,237,Lakes of the Green Curran area 10+ acre wooded parcel on a low traveled road. Great ORV Snowmobiling hunting areaand fish the lakes .A fun family property 4 bedrooms sleeps 9-10 furnished less antique wood stove nice kitchen dining area with outside views and a lovely living room with panoramic window views. Master Bdrm and utility on main floor three bdrms and 3/4 bath upstairs. Pole barn to keep your toys in so you don't have to haul them back and forth. LP gas furnace along with a wood furnace in the basement with dry wood provided. Lakes of the Green does have an association for road maintaince. Give me a call lets take a peek priced to sell and Seller sez SELL!! NEW ROOF IN 2017.              
        4171 Northwood Ct #270      ,Barton City,MI, 48705 ,Alcona ,Northwood Ct,Lot/Land,$19994,,,,,,,134,82,Parcel# 270 Lakes in the Green. Access to (2) inland lakes. Hunt fish swim or take the boat out. Nice pavilion area for family picnics and a sandy beach for the kids to play. Ride your quads bikes snowmobiles etc. on the roads and/or the trails on your 10 acres. Electric is available @ the road. Lots of Wildlife including: Bear deer turkey and so many other animals and birds. Great place for camping with family and friends and/or future building site. If your looking for privacy seclusion and enjoy mother nature look no further. Annual dues of $ 130.00 is for treating the lakes and maintaining the roads all year.              
        1745 Shady Ridge Trl      ,Barton City,MI, 48705 ,Alcona ,Shady Ridge Trl,Single-Family Home,$209900,3,2,1987,84.11,1344,,455,326,The special features of this unique property are truly too numerous to list. The custom built 3 bedroom 1 1/2 bath house is very secluded on 84 mostly wooded acres but is very close to the friendly small resort community of Barton City and the beautiful all sports Jewell Lake. It is located on a well drained sand hill next to a pond and surrounded by thick woodland. The land is a hunter's paradise with opportunity for deer turkey duck geese small game and morels. It has upland with abundant oak maple and poplar. The maple sap produces excellent maple syrup. The lowland has cedar pine spruce hemlock balsam fir and tamarack. A portion of the property is under shallow Sanborn Lake which provides excellent duck and goose hunting and pike fishing. The photos of the house will speak for themselves. You will not find comparable properties.              
        2741 Stout Rd      ,Barton City,MI, 48705 ,Alcona ,Stout Rd,Single-Family Home,$409900,4,1,1980,160.00,2350,,91,127,For the sportsman this is heaven in the north woods. Some of the best hunting in this county with 4 miles of established trails deer blinds and food plots. 1/2 mile of 1st class trout fishing with the Comstock River running through and a large pond in the yard at the lodge . The lodge is very nice and could be used as a year round residence. 3 garages and a shed to store all the tools and toys. See this unique first class Northeast Michigan Gem today!!              
        1340 Woodvale Ct #149      ,Barton City,MI, 48705 ,Alcona ,Woodvale Ct,Single-Family Home,$79900,2,1,1997,,900,,29,43,This Single-Family Home is located at 1340 Woodvale Ct 149 Barton City MI is currently for sale and has been listed on Trulia for 29 days. This property is listed for $79900. 1340 Woodvale Ct 1492 beds 1 bath and approximately 900 square feet. The price per square foot is $89. The property was built in 1997. 1340 Woodvale Ct 149 is in Barton City MI.              
        5415 Cherlyn Dr      ,Black River,MI, 48721 ,Alcona ,Cherlyn Dr,Single-Family Home,$79900,2,1,1951,0.90,1320,,90,95,This would be a good option as a year-round home or use it as an affordable cottage. Beautiful riverfront right out your back door so you can boat down the river to the lake. Black River boat launch and park are located just down the street. Home is currently used as 2 bedrooms but a large bonus room could easily be converted into another bedroom. Spacious living room with brick fireplace. The 1-car garage has an extra storage area so you can store everything inside. Quiet private setting.              
        4676 E Black River Rd      ,Black River,MI, 48721 ,Alcona ,E Black River Rd,Lot/Land,$73900,,,,38.80,,,222,147,38.8 beautiful wooded acres for your enjoyment. Loads of wildlife! Beautiful pond fed by an artesian well plus a stream through the entire property both full of fish! 24X40 Pole Barn to store any toys in or to hang out during deer camp. Within 4 miles of Lake Huron. Well and Septic already in!!! Being sold as part of an estate. Camper in pictures is not included in sale of property.              
        3726 E Cedar Dr      ,Black River,MI, 48721 ,Alcona ,E Cedar Dr,Single-Family Home,$62900,3,1,,0.31,1760,,106,573,Start out with a new $10000 roof on this spacious 3 bedroom ranch style home with wood fireplace formal dining wonderful back yard. Two car attached garage with aluminum siding. Great Buy... needs some cosmetic up-date...but great investment if you are ready for it! Call now!              
        3414 N Lake Shore Dr      ,Black River,MI, 48721 ,Alcona ,N Lake Shore Dr,Single-Family Home,$599900,3,3,2005,0.97,4300,,114,121,SIMPLY SPECTACULAR! This outstanding home features 4300 sq. ft of living space on 5 levels trex decking on 4 decks all on 106' of beautiful sandy Lake Huron. Enter into a truly "Great Room" with a soaring beam and plank wood 30' ceiling a field stone fireplace a wall of book shelves a wall of windows w/sliders to the deck gives you incredible views. Walk up a few steps to a kitchen cooks will love. Ample Maple cupboards corrian counters and all stainless appliances plus breakfast area and a gorgeous view and sliders to the deck. Off the kitchen is the formal dining area w/sliders to the deck. A few step away is the guest wing featuring 2 bedrooms full bath and a bunk room. Guest have their own door to a small private deck. On the way up to the Master bedroom floor you will enter the loft area great for an office overlooking the great room. The upper floor is the Master bedroom suite w/ its own private balcony plus views of the great room. There is a large walk in closest big enough for two an en-suite with 2 vanities large soaking tub a separate shower plus a bonus room currently used as a sewing room. And don't forget the lowest level with a game room family room work shop and that is where you will also find the oversized garage complete with a dumb-waiter that goes to the kitchen. Call today for your private showing -please note you must be pre-qualified for a mortgage or have proof of funds to view this home.              
        3415 N Lake Shore Dr #5      ,Black River,MI, 48721 ,Alcona ,N Lake Shore Dr,Lot/Land,$214900,,,,,,,97,,This Premium Lake Huron lot has it all with sugar-sand beach and surrounded by custom built homes. Don't settle for someone else's floor-plan when you can create your own here. Located on a quiet rural blacktop road and just a short drive to Alpena. See it today it is time to make that Northern Michigan dream a reality.              
        3471 N Lake Shore Dr      ,Black River,MI, 48721 ,Alcona ,N Lake Shore Dr,Single-Family Home,$249900,5,4,2000,2.00,3875,,111,200,Luxury on Lake Shore! This home as everything you need! 5 bedrooms 3.5 bathrooms hardwood flooring fireplace central air backup generator central vacuum 2.5 car attached garage pole barn and covered porch are some of the features in this beautifully constructed 3875 sq ft home. Located across the street from Lake Huron and within a few miles from Harrisville and Harrisville Harbor Make this your forever home up-north getaway or home port for any nautical enthusiast.              
        3536 N Lake Shore Dr #4      ,Black River,MI, 48721 ,Alcona ,N Lake Shore Dr,Lot/Land,$176900,,,,,,,351,5,In 35 years of selling real estate I have never seen a more gorgeous Lake Huron Beach. Located just North of the Lakeshore Drive/Alcona Road intersection in an area of first class upper end housing. Most Lake Huron home owners can only wish they had frontage in this area.              
        3692 N Lake Shore Dr      ,Black River,MI, 48721 ,Alcona ,N Lake Shore Dr,Single-Family Home,$59900,2,2,1991,0.42,1049,,95,240,Beautiful setting with many flowers to enjoy each year. Open floor plan kitchen/dining 16x12 living room 21x14 first bath 7x5 second bath off master bedroom 9x6 master bedroom 13x12 bedroom two 13x9. Back yard offers room for enjoyment including fire pit. Deck off back of home has unique design you will enjoy your favorite beverage with lots of room for your guests.              
        4100 N Lake Shore Dr      ,Black River,MI, 48721 ,Alcona ,N Lake Shore Dr,Single-Family Home,$379900,2,3,,0.58,1967,,57,37,Spacious summer home or year round residence. A whopping 271 ft on Lake Huron with the shoreline curving to a bay-like effect giving more beach than the legal description. A small creek also crosses the property and empties into the lake. There is two bedrooms with attached full baths and additional third bathroom off the family room. The open concept for kitchen living and dining room all under a cathedral ceiling. A Large 100 foot pantry area that adjoins the kitchen which has counter space and shelving galore. Metal roof with wood siding and geo thermal heating system. This ranch style home does need some TLC worth checking out with the beautiful views.              
        4276 N Lake Shore Dr      ,Black River,MI, 48721 ,Alcona ,N Lake Shore Dr,Lot/Land,$110000,,,,0.44,,,106,,Beautiful view of sunsets over Lake Huron. Enjoy living on the big lake year around or just vacation summers. Sandy beach to walk on or sun bath. Fish for the big ones for great sport or lots of game if you enjoy hunting. 100 ft. on Lake Huron.              
        4341 N Lake Shore Dr      ,Black River,MI, 48721 ,Alcona ,N Lake Shore Dr,Single-Family Home,$59000,2,1,1960,0.69,575,,61,450,This well maintained 2 bedroom log cabin has an open floor plan. Comes with deeded Lake Huron access and new wood stove. Would make a great weekend getaway vacation home or rental property. Close to thousands of acres of Federal Land and Black River public boat launch. This will not last long so schedule a showing today.              
        4950 N Lake Shore Dr      ,Black River,MI, 48721 ,Alcona ,N Lake Shore Dr,Single-Family Home,$229900,3,2,1996,0.97,2196,,91,187,This Single-Family Home is located at 4950 N Lake Shore Dr Black River MI is currently for sale and has been listed on Trulia for 91 days. This property is listed for $229900. 4950 N Lake Shore Dr3 beds 2 baths and approximately 2196 square feet. The price per square foot is $105. The property has a lot size of 0.97 acres sqft and was built in 1996. 4950 N Lake Shore Dr is in Black River MI.              
        4970 N Lake Shore Dr      ,Black River,MI, 48721 ,Alcona ,N Lake Shore Dr,Single-Family Home,$238000,3,2,1988,1.03,1375,,217,173,Exceptional home nestled on 150 ft of majestic Lake Huron. Breathtaking views from the enclosed 12x28 lakeside porch. Vaulted ceilings in the living room with open kitchen and dining area. Large laundry/mudroom tastefully decorated throughout! Central Air and groomed beach. Extra large 2+ car garage boasts a main level studio/hobby room plus a full living area upstairs with a lakeside office. Beautiful treed lot. This unique special home and setting comes along once in a lifetime! Improvement list online with listing.              
        5230 N Sayers Rd      ,Black River,MI, 48721 ,Alcona ,N Sayers Rd,Lot/Land,$350000,,1,2008,200.00,1280,,552,91,Incredible opportunity for buyers wanting prime hunting acreage and all the comforts of home. This 200-acre parcel includes a newer 32 x 40 cabin with 2 bedrooms ¾ bath small garage area for tools and equipment power well and septic. Ideal for seasonal or year around use. Great deer quality and numbers food crops and trails throughout the acreage. Easy access from US 23 and just five miles from Lake Huron. Part of the property was selective-cut timbered in '01 and '09 creating an ideal habitat for all kinds of wildlife. Federal land adjoins the acreage.              
        3775 N US Highway 23      ,Black River,MI, 48721 ,Alcona ,N Us Highway 23,Single-Family Home,$259000,3,1,1900,12.12,2200,,337,98,A hidden jewel is what you will see when you take a look at this place. This 3 bedroom 1 3/4 bath home has a lot of character. The fireplace in the living room will keep you warm during those winter nights. Entertain your company in the bar room with some grilling at the same time or just enjoy some quite time for yourself in the family room/2nd living room. You will never run out of storage here with the 2 1/2 car garage the 48ft by 112ft Pole barn (32ft by 64ft is heated and insulated) the 14ft by 64ft enclosed lean a granary and 16 acres. You need to call and set up your appointment. There is more to see. If you think you might want to change careers and work from home the opportunity is here the business can be purchased with the home and ALL of its tools and machinery. You choose sign making cabinetry or maybe you have your own idea. All this can be purchased for $310000. Come look you won't be disappointed.              
        4783 N US Highway 23      ,Black River,MI, 48721 ,Alcona ,N Us Highway 23,Single-Family Home,$67900,2,1,,,1081,,303,438,So many upgrades!! This unique property is turn-key ready and partially furnished. Open spacious floor plan with eat in kitchen (incl new counters flooringand cabinetry)! NEW attic insulation! Huge windows in the living room offer tons of natural light! Two great bedrooms with a full bath in-between. The bonus room could be repurposed into a 3rd bedroom. Inside the large attached garage you'll find lots of work space and a Cub Cadet riding mower that stays. Downstairs in the unfinished full basement is a BRAND NEW FURNACE BRAND NEW HOT WATER HEATER AND A BRAND NEW WELL PUMP! But wait --- there's another one acre of vacant land across the street to ensure your private setting. All this is priced to sell quickly and seller is offering immediate occupancy. Just bring your toothbrush! Conveniently located on well-maintained US-23 with easy drives to Harrisville and Alpena.              
        5200 N US Highway 23      ,Black River,MI, 48721 ,Alcona ,N Us Highway 23,Single-Family Home,$175000,4,3,,34.68,2488,,403,209,Very nice multi-use NE MI recreation land. Currently set up as a horse ranch and/or hunting parcel. Property fronts US23 for great access. Home has loads of potential with gorgeous hdwd floors stone fireplace. 35 x40 livestock barn + loft + 3 additional smaller farm bldgs.              
        5400 Phyllis Dr      ,Black River,MI, 48721 ,Alcona ,Phyllis Dr,Single-Family Home,$269900,4,3,1970,0.44,3100,,147,163,4 Bedroom 3 bath Lake Huron home on 112' of beautiful sand Beach is ready to move into! This well maintained home features outstanding views of the lake from the upper guest suite with walk in closet and en suite the downstairs master suite the formal living room/dining room area and the family room/kitchen area! Upper loft has a bedroom and the TV room could serve as extra bedroom. Gas fireplace keeps you nice and warm on those chilly days. Outside is nicely landscaped with screened in heated Gazebo decks and the 2 1/2 car garage features extra storage plus an apartment up stairs! All the window treatment stay plus all the furniture is negotiable. Located on a quiet street!              
        5459 Raymond Dr      ,Black River,MI, 48721 ,Alcona ,Raymond Dr,Single-Family Home,$94900,3,2,1969,1.00,1250,,79,148,This is a 3 bedroom 2 bath home at the end of a quiet cul-de-sac with frontage on a gentle and peaceful salmon/steelhead river. The house has been recently updated with an expanded kitchen newer flooring exterior paint and updated septic. This is on a large lot with plenty of room. The front yard along the river has a privacy fence and the opposite side of the river is undeveloped giving you a completely private feeling. The Black River is a historically significant river known for fantastic paddling a recovering salmon and steelhead run and excellent trapping. You can paddle from the house up to state land or out into Lake Huron. There is a DNR boat launch to Lake Huron just a mile away. Also there is a park and beach a mile away. This is a fantastic recreational area.              
